

LISTE DER VARIABLEN IN ALLBUS 2016 (ZA5250)


Variable       Position Label
za_nr          1        STUDIENNUMMER
doi            2        DIGITAL OBJECT IDENTIFIER
version        3        RELEASE
respid         4        IDENTIFIKATIONSNUMMER DES BEFRAGTEN
eastwest       5        ERHEBUNGSGEBIET <WOHNGEBIET>: WEST - OST
german         6        DEUTSCHE STAATSANGEHOERIGKEIT?
ep01           7        WIRTSCHAFTSLAGE IN DER BRD HEUTE
ep03           8        WIRTSCHAFTSLAGE, BEFR. HEUTE
ep04           9        WIRTSCHAFTSLAGE DER BRD IN 1 JAHR
ep06           10       WIRTSCHAFTSLAGE, BEFR. IN 1 JAHR
fr01           11       BERUFST.FRAU: HERZL. VERHAELT. ZUM KIND
fr02           12       FRAU, LIEBER MANN BEI D.KARRIERE HELFEN?
fr03a          13       FRAU, NICHT ARBEITEN BEI KLEINKIND?<A>
fr04a          14       FRAU, ZU HAUSE KINDER VERSORGEN?<A>
fr05a          15       FRAU, BERUFSTAETIG BESSERE MUTTER?<A>
fr06           16       FRAU, NACH HEIRAT ARBEITSPL. FREIMACHEN?
fr07           17       ERWERBSTAETIGE FRAU AUCH GUTE MUTTER
fr08           18       ELTERN VOLLZEIT ARBEITEN,HAUSHALT TEILEN
fr03b          19       FRAU, NICHT ARBEITEN BEI KLEINKIND?<B>
fr04b          20       FRAU, ZU HAUSE KINDER VERSORGEN?<B>
fr05b          21       FRAU, BERUFSTAETIG BESSERE MUTTER?<B>
fr09           22       VOLL ARBEITENDER MANN SCHLECHTERER VATER
fr10           23       BEIDE ELTERN ARBEITEN ABER HAUSHALT FRAU
fr11           24       ERWERBSTAETIGER MANN AUCH GUTER VATER
fr12           25       AUCH MANN KANN HAUSHALT+KIND UEBERNEHMEN
lp03           26       LAGEVERSCHLECHTERUNG FUER EINFACHE LEUTE
lp04           27       BEI DIESER ZUKUNFT KEINE KINDER MEHR
lp05           28       POLITIKER UNINTERESSIERT AN EINF.LEUTEN
lp06           29       MEHRHEIT UNINTERESSIERT AN MITMENSCHEN
st01           30       VERTRAUEN ZU MITMENSCHEN
id02           31       SUBJEKTIVE SCHICHTEINSTUFUNG, BEFR.
id01           32       GERECHTER ANTEIL A.LEBENSSTANDARD,BEFR.?
mi01           33       ZUZUG VON: AUSSIEDLERN AUS OSTEUROPA
mi02           34       ZUZUG VON: ASYLSUCHENDEN
mi03           35       ZUZUG VON: EU-ARBEITNEHMERN
mi04           36       ZUZUG VON: NICHT-EU-ARBEITNEHMERN
mi05           37       ZUZUG VON: KRIEGSFLUECHTLINGEN
mi06           38       ZUZUG VON: POLITISCH VERFOLGTEN
mi07           39       ZUZUG VON: WIRTSCHAFTSMIGRANTEN
mi08           40       ZUZUG VON: EU-ARBEITN. AUS OSTEUROPA
mi09           41       ZUZUG VON: ARBEITN. ANDERER EU-STAATEN
mi10           42       ZUZUG VON: NICHT-EU-ARBEITSKRAEFTEN
mi11           43       ZUZUG VON: EHEPARTNER,KINDER V.MIGRANTEN
sex            44       GESCHLECHT, BEFRAGTE<R>
mborn          45       GEBURTSMONAT: BEFRAGTE<R>
yborn          46       GEBURTSJAHR: BEFRAGTE<R>
age            47       ALTER: BEFRAGTE<R>
agec           48       ALTER: BEFRAGTE<R>, KATEGORISIERT
rd01           49       KONFESSION, BEFRAGTE<R>
rd02           50       CHRISTLICH-ORTHODOXE KONFESSION?
rd03           51       WELCHE NICHTCHRISTLICHE RELIGION?
rp01           52       KIRCHGANGSHAEUFIGKEIT
rp02           53       WIE OFT BESUCH GOTTESHAUS?
dn01a          54       BEFR.: STAATSBUERGERSCHAFT 1 <STAGEBSYS>
dn02a          55       BEFR.: STAATSBUERGERSCHAFT 2 <STAGEBSYS>
dn03a          56       BEFR.: STAATSBUERGERSCHAFT 3 <STAGEBSYS>
dn04           57       BEFR.: ZAHL DER STAATSBUERGERSCHAFTEN
dn05           58       BEFR.: VON GEBURT AN DEUTSCH?
dn06           59       BEFR. URSPRUENGL.STAATSBUERG.<STAGEBSYS>
dn07           60       GEBURT IM HEUTIGEN DEUTSCHLAND?
dn08           61       BEFR.: HERKUNFTSLAND <STAGEBSYS>
dg10           62       BUNDESLAND, WO BEFRAGTER IN JUGEND LEBTE
dg03           63       JUGEND IN OST-WEST;INTERVIEW IN OST-WEST
dm06a          64       LAND, WO IN DER JUGEND GELEBT<STAGEBSYS>
dm02a          65       IMMIGRANT: SEIT WANN IN DEUTSCHLAND,JAHR
dm02c          66       IMMIGRANT: SEIT WANN IN DEUTSCHLAND,KAT.
dm03           67       IMMIGRANT: WIEVIEL JAHRE IN DEUTSCHLAND?
ma01a          68       AUSLAENDER: LEBENSSTILANPASSUNG, SPLIT A
ma01b          69       AUSLAENDER: LEBENSSTILANPASSUNG, SPLIT B
ma02           70       AUSLAEND.:WIEDER HEIM BEI KNAPPER ARBEIT
ma03           71       AUSLAENDER: POLIT.BETAETIGUNG UNTERSAGEN
ma04           72       AUSLAENDER: SOLLTEN UNTER SICH HEIRATEN
mc01           73       AUSLAENDER: KONTAKT I.D.EIGENEN FAMILIE?
mc02           74       AUSLAENDER: KONTAKT BEI DER ARBEIT?
mc03           75       AUSLAENDER: KONTAKT IN D. NACHBARSCHAFT?
mc04           76       AUSLAENDER: KONTAKT IM FREUNDESKREIS?
mc05           77       KONTAKT MIT DEUTSCHEN: EIGENE FAMILIE
mc06           78       KONTAKT MIT DEUTSCHEN: BEI DER ARBEIT
mc07           79       KONTAKT MIT DEUTSCHEN: IN NACHBARSCHAFT
mc08           80       KONTAKT MIT DEUTSCHEN: IM FREUNDESKREIS
mc09           81       WIE OFT GUTE ERFAHRUNG MIT AUSLAENDERN?
mc10           82       WIE OFT SCHLECHTE ERFAHRUNG M.AUSLAEND.?
pn01           83       BIN STOLZ AUF: GRUNDGESETZ
pn02           84       BIN STOLZ AUF: BUNDESTAG
pn03           85       BIN STOLZ AUF: DEUTSCHE SPORTLER
pn04           86       BIN STOLZ AUF: DT. WIRTSCHAFTL. ERFOLG
pn05           87       BIN STOLZ AUF: DEUTSCHE KUNST,LITERATUR
pn06           88       BIN STOLZ AUF: DT.WISSENSCHAFTL.LEISTUNG
pn07           89       BIN STOLZ AUF: DT.SOZIALSTAATL.LEISTUNG
pn08           90       BIN STOLZ AUF: AN ERSTER STELLE
pn09           91       BIN STOLZ AUF: AN ZWEITER STELLE
pn10           92       BIN STOLZ AUF: AN DRITTER STELLE
pn11           93       GENERELLER STOLZ, DEUTSCHER ZU SEIN
lp07           94       REVANCHE: ANDERE IN SCHWERE LAGE BRINGEN
lp08           95       FUER EMPFANGENE HILFE ANDEREN HELFEN
lp01           96       DANKBAR SEIN FUER FUEHRENDE KOEPFE
lp02           97       ANPASSUNG ALS KIND SPAETER NUETZLICH
ma09           98       FREMDER IM EIGENEN LAND DURCH AUSLAENDER
mp01           99       AUSLAENDER:TUN DIE UNSCHOENEN ARBEITEN
mp02           100      AUSLAENDER:BELASTEN UNSER SOZIALES NETZ
mp03           101      AUSLAENDER:BEREICHERN UNSERE KULTUR
mp04           102      AUSLAENDER:VERKNAPPEN WOHNUNGEN
mp05           103      AUSLAENDER:STUETZEN DIE RENTENSICHERUNG
mp06           104      AUSLAENDER:NEHMEN ARBEITSPLAETZE WEG
mp07           105      AUSLAENDER:BEGEHEN HAEUFIGER STRAFTATEN
mp08           106      AUSLAENDER:SCHAFFEN ARBEITSPLAETZE
mp09           107      AUSLAENDER: ZUSAMMENHALT GEHT VERLOREN
mp10           108      AUSLAENDER: DEUTSCHLAND WIRD TOLERANTER
mp11           109      AUSLAENDER: SENKEN NIVEAU IN SCHULEN
mp12           110      AUSLAENDER: WENIGER FACHKRAEFTEMANGEL
md01           111      BEHANDLUNG AUSL.: IN SCHULE, AUSBILDUNG
md02           112      BEHANDLUNG AUSL.: BEI STELLENSUCHE
md03           113      BEHANDLUNG AUSL.: BEI BEHOERDEN
md04           114      BEHANDLUNG AUSL.: BEI WOHNUNGSSUCHE
md05           115      BEHANDLUNG AUSL.: ALS KUNDE
mn01           116      EINBUERGERUNG: SOLLTE HIER GEBOREN SEIN
mn02           117      EINBUERGERUNG: DEUTSCHE ABSTAMMUNG HABEN
mn03           118      EINBUERGERUNG: DEUTSCH SPRECHEN
mn04           119      EINBUERGERUNG: LANGE BEI UNS GELEBT
mn05           120      EINBUERGERUNG: LEBENSSTILANPASSUNG
mn06           121      EINBUERGERUNG: IN CHRISTLICH.KIRCHE SEIN
mn07           122      EINBUERGERUNG: KEINE STRAFTATEN
mn08           123      EINBUERGERUNG: EIGENER LEBENSUNTERHALT
mn09           124      EINBUERGERUNG: ZU GRUNDGESETZ BEKENNEN
ma05           125      DOPPELTE STAATSBUERGERSCHAFT ERLAUBEN
ma06           126      GLEICHE SOZIALLEISTUNGEN FUER AUSLAENDER
ma07           127      KOMMUNALES WAHLRECHT FUER AUSLAENDER
ma10           128      BUNDESTAGSWAHLRECHT FUER AUSLAENDER
ma08           129      AN SCHULEN AUCH ISLAMUNTERRICHT ERLAUBEN
mp13           130      AUSLAENDERANTEILSCHAETZUNG FUER WESTEN
mp14           131      AUSLAENDERANTEILSCHAETZUNG FUER OSTEN
ma11           132      AUSLAENDER: VOR- ODER NACHTEIL FUER D?
ms01           133      MOECHTE IN WOHNGEBIET 1 LEBEN
ms02           134      MOECHTE IN WOHNGEBIET 2 LEBEN
ms03           135      MOECHTE IN WOHNGEBIET 3 LEBEN
ms04           136      MOECHTE IN WOHNGEBIET 4 LEBEN
ms05           137      MOECHTE IN WOHNGEBIET 5 LEBEN
ms06           138      MOECHTE IN WOHNGEBIET 6 LEBEN
ms07           139      MOECHTE IN WOHNGEBIET 7 LEBEN
ms08           140      MOECHTE IN WOHNGEBIET 8 LEBEN
